Pop	Tree	Family	State	Region	Date	Latitude	Longitude	Elevation	DBH	bio1_13	bio2_13	bio3_13	bio4_13	bio5_13	bio6_13	bio7_13	bio8_13	bio9_13	bio10_13	bio11_13	bio12_13	bio13_13	bio14_13	bio15_13	bio16_13	bio17_13	bio18_13	bio19_13
AB	5	AB_05	TN	E	9002016	35.55297	-83.49438	1812	57.7	70	104	34	7058	214	-85	299	68	122	158	-24	2006	197	143	7	537	463	509	492
AB	8	AB_08	TN	E	9002016	35.55212	-83.49259	1785	44.3	70	104	34	7058	214	-85	299	68	122	158	-24	2006	197	143	7	537	463	509	492
AB	12	AB_12	TN	E	9002016	35.5389	-83.49463	1750	36.8	79	110	36	7021	226	-78	304	77	131	166	-15	1923	191	134	8	516	439	487	478
AB	16	AB_16	TN	E	9002016	35.53882	-83.49534	1738	44	79	110	36	7021	226	-78	304	77	131	166	-15	1923	191	134	8	516	439	487	478
AB	18	AB_18	TN	E	9002016	35.53945	-83.49375	1769	68.2	79	110	36	7021	226	-78	304	77	131	166	-15	1923	191	134	8	516	439	487	478
ALB	1	ALB_01	ME	C	11112017	44.3067	-70.84019	455	28.1	46	120	29	9718	243	-160	403	0	-72	167	-85	1237	129	85	11	347	270	319	284
ALB	2	ALB_02	ME	C	11112017	44.30564	-70.84081	524	11.3	46	120	29	9718	243	-160	403	0	-72	167	-85	1237	129	85	11	347	270	319	284
ALB	3	ALB_03	ME	C	11112017	44.30359	-70.84096	523	19.9	46	120	29	9718	243	-160	403	0	-72	167	-85	1237	129	85	11	347	270	319	284
ALB	5	ALB_05	ME	C	11112017	44.30182	-70.83729	573	11.9	46	120	29	9718	243	-160	403	0	-72	167	-85	1237	129	85	11	347	270	319	284
ALB	6	ALB_06	ME	C	11112017	44.30061	-70.83641	589	12.3	46	120	29	9718	243	-160	403	0	-72	167	-85	1237	129	85	11	347	270	319	284
APP	1	APP_01	VT	C	9022017	44.20933	-72.9295	743	6.3	36	106	27	9704	226	-161	387	156	-83	156	-94	1288	138	74	16	379	247	379	261
APP	2	APP_02	VT	C	9022017	44.21172	-72.92999	780	4.4	36	106	27	9704	226	-161	387	156	-83	156	-94	1288	138	74	16	379	247	379	261
APP	3	APP_03	VT	C	9022017	44.22097	-72.92639	896	9	33	105	27	9667	222	-162	384	153	-85	153	-96	1322	141	76	16	387	255	387	270
APP	4	APP_04	VT	C	9292017	44.2114	-72.93122	741	9.3	36	106	27	9704	226	-161	387	156	-83	156	-94	1288	138	74	16	379	247	379	261
APP	5	APP_05	VT	C	9272017	44.21034	-72.93051	733	26.3	36	106	27	9704	226	-161	387	156	-83	156	-94	1288	138	74	16	379	247	379	261
APP	6	APP_06	VT	C	9272017	44.21235	-72.93502	658	25	42	109	27	9758	235	-157	392	163	-77	163	-89	1204	131	68	17	358	227	358	240
ASC	1	ASC_01	VT	C	10162017	43.43787	-72.45218	883	20	41	112	29	9418	231	-152	383	158	-74	158	-85	1331	127	91	10	357	287	357	299
ASC	2	ASC_02	VT	C	10162017	43.43983	-72.45328	847	14.2	41	112	29	9418	231	-152	383	158	-74	158	-85	1331	127	91	10	357	287	357	299
ASC	3	ASC_03	VT	C	10162017	43.44192	-72.45589	861	26	35	107	28	9314	221	-154	375	152	-78	152	-88	1408	134	97	9	376	306	376	318
ASC	4	ASC_04	VT	C	10162017	43.4426	-72.45713	870	19.5	35	107	28	9314	221	-154	375	152	-78	152	-88	1408	134	97	9	376	306	376	318
ASC	5	ASC_05	VT	C	10162017	43.44376	-72.45867	879	18.3	45	114	29	9452	237	-150	387	162	-70	162	-82	1277	122	87	10	343	274	343	286
ASC	6	ASC_06	VT	C	10162017	43.44379	-72.45434	967	21.7	35	107	28	9314	221	-154	375	152	-78	152	-88	1408	134	97	9	376	306	376	318
B	2	B_02	VT	C	2192016	44.10929	-73.0714	311	NA	47	112	28	9754	243	-153	396	168	-72	168	-84	1153	127	65	17	344	215	344	227
