plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet,BudSet_Notes
AB_05_VT_B,AB_05,AB,TN,E,35.55297,83.49438,1812,VT,B,3,2,1,3,2,284,NA
AB_05_VT_C,AB_05,AB,TN,E,35.55297,83.49438,1812,VT,C,6,68,5,6,12,NA,NA
AB_05_VT_D,AB_05,AB,TN,E,35.55297,83.49438,1812,VT,D,4,41,3,4,13,284,NA
AB_05_VT_A,AB_05,AB,TN,E,35.55297,83.49438,1812,VT,A,2,66,5,2,10,298,NA
AB_05_VT_E,AB_05,AB,TN,E,35.55297,83.49438,1812,VT,E,4,30,3,4,2,267,NA
AB_08_VT_A,AB_08,AB,TN,E,35.55212,83.49259,1785,VT,A,6,14,1,6,14,291,NA
AB_08_VT_B,AB_08,AB,TN,E,35.55212,83.49259,1785,VT,B,2,39,3,2,11,242,NA
AB_08_VT_C,AB_08,AB,TN,E,35.55212,83.49259,1785,VT,C,4,19,2,4,5,249,NA
AB_08_VT_E,AB_08,AB,TN,E,35.55212,83.49259,1785,VT,E,3,19,2,3,5,274,NA
AB_08_VT_D,AB_08,AB,TN,E,35.55212,83.49259,1785,VT,D,3,12,1,3,12,288,NA
AB_12_VT_B,AB_12,AB,TN,E,35.5389,83.49463,1750,VT,B,4,20,2,4,6,234,NA
AB_12_VT_C,AB_12,AB,TN,E,35.5389,83.49463,1750,VT,C,2,60,5,2,4,288,NA
AB_12_VT_D,AB_12,AB,TN,E,35.5389,83.49463,1750,VT,D,2,3,1,2,3,294,NA
AB_12_VT_A,AB_12,AB,TN,E,35.5389,83.49463,1750,VT,A,5,31,3,5,3,210,NA
AB_12_VT_E,AB_12,AB,TN,E,35.5389,83.49463,1750,VT,E,4,31,3,4,3,288,NA
AB_16_VT_B,AB_16,AB,TN,E,35.53882,83.49534,1738,VT,B,2,59,5,2,3,246,NA
AB_16_VT_D,AB_16,AB,TN,E,35.53882,83.49534,1738,VT,D,2,26,2,2,12,291,NA
AB_16_VT_A,AB_16,AB,TN,E,35.53882,83.49534,1738,VT,A,3,61,5,3,5,249,NA
AB_16_VT_E,AB_16,AB,TN,E,35.53882,83.49534,1738,VT,E,3,62,5,3,6,288,NA
AB_18_VT_B,AB_18,AB,TN,E,35.53945,83.49375,1769,VT,B,4,46,4,4,4,207,NA
AB_18_VT_C,AB_18,AB,TN,E,35.53945,83.49375,1769,VT,C,3,5,1,3,5,267,NA
AB_18_VT_D,AB_18,AB,TN,E,35.53945,83.49375,1769,VT,D,6,52,4,6,10,284,NA
AB_18_VT_E,AB_18,AB,TN,E,35.53945,83.49375,1769,VT,E,5,5,1,5,5,267,NA
ALB_01_VT_B,ALB_01,ALB,ME,C,44.3067,70.84019,455,VT,B,4,60,5,4,4,260,NA
ALB_01_VT_C,ALB_01,ALB,ME,C,44.3067,70.84019,455,VT,C,5,20,2,5,6,238,NA
ALB_01_VT_D,ALB_01,ALB,ME,C,44.3067,70.84019,455,VT,D,4,6,1,4,6,291,NA
ALB_01_VT_A,ALB_01,ALB,ME,C,44.3067,70.84019,455,VT,A,6,35,3,6,7,288,NA
ALB_01_VT_E,ALB_01,ALB,ME,C,44.3067,70.84019,455,VT,E,4,67,5,4,11,234,NA
ALB_02_VT_B,ALB_02,ALB,ME,C,44.30564,70.84081,524,VT,B,2,69,5,2,13,NA,NA
ALB_02_VT_C,ALB_02,ALB,ME,C,44.30564,70.84081,524,VT,C,3,61,5,3,5,294,NA
ALB_02_VT_A,ALB_02,ALB,ME,C,44.30564,70.84081,524,VT,A,2,32,3,2,4,294,NA
ALB_02_VT_D,ALB_02,ALB,ME,C,44.30564,70.84081,524,VT,D,2,53,4,2,11,249,NA
ALB_02_VT_E,ALB_02,ALB,ME,C,44.30564,70.84081,524,VT,E,3,24,2,3,10,298,NA
ALB_03_VT_C,ALB_03,ALB,ME,C,44.30359,70.84096,523,VT,C,3,57,5,3,1,294,NA
ALB_03_VT_A,ALB_03,ALB,ME,C,44.30359,70.84096,523,VT,A,5,24,2,5,10,294,NA
ALB_03_VT_B,ALB_03,ALB,ME,C,44.30359,70.84096,523,VT,B,3,4,1,3,4,291,NA
ALB_03_VT_D,ALB_03,ALB,ME,C,44.30359,70.84096,523,VT,D,6,66,5,6,10,246,NA
ALB_03_VT_E,ALB_03,ALB,ME,C,44.30359,70.84096,523,VT,E,2,57,5,2,1,277,NA
ALB_05_VT_A,ALB_05,ALB,ME,C,44.30182,70.83729,573,VT,A,5,57,5,5,1,249,NA
ALB_05_VT_B,ALB_05,ALB,ME,C,44.30182,70.83729,573,VT,B,4,13,1,4,13,284,NA
ALB_05_VT_C,ALB_05,ALB,ME,C,44.30182,70.83729,573,VT,C,6,17,2,6,3,256,NA
ALB_05_VT_D,ALB_05,ALB,ME,C,44.30182,70.83729,573,VT,D,5,40,3,5,12,260,NA
ALB_05_VT_E,ALB_05,ALB,ME,C,44.30182,70.83729,573,VT,E,2,10,1,2,10,218,NA
ALB_06_VT_A,ALB_06,ALB,ME,C,44.30061,70.83641,589,VT,A,2,8,1,2,8,204,NA
ALB_06_VT_E,ALB_06,ALB,ME,C,44.30061,70.83641,589,VT,E,4,42,3,4,14,288,NA
ALB_06_VT_B,ALB_06,ALB,ME,C,44.30061,70.83641,589,VT,B,4,41,3,4,13,249,NA
ALB_06_VT_C,ALB_06,ALB,ME,C,44.30061,70.83641,589,VT,C,3,69,5,3,13,274,NA
ALB_06_VT_D,ALB_06,ALB,ME,C,44.30061,70.83641,589,VT,D,2,56,4,2,14,284,NA
APP_01_VT_B,APP_01,APP,VT,C,44.20933,72.9295,743,VT,B,6,51,4,6,9,196,NA
APP_01_VT_C,APP_01,APP,VT,C,44.20933,72.9295,743,VT,C,6,9,1,6,9,196,NA
