Family,Source,Group,Treatment,Plant_ID,Day00,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day13,Day16,Day22,Day31,Day40
BRU_05,PA,Hot/Dry,control_0,BRU_05_control_0,10.4,3.8,2.6,5.4,3.8,3.4,4.5,7.7,7.6,3.5,4.7,5.9,4.7,10.2,3.9,1.5
BRU_05,PA,Hot/Dry,control_5,BRU_05_control_5,21.5,16.5,17.7,10,12.5,8.7,7.2,19.1,19.1,10.5,10.1,15.8,7.4,19.8,5.5,7.3
BRU_05,PA,Hot/Dry,control_10,BRU_05_control_10,10.1,11.3,7.1,12.7,8.3,12.1,7.5,8.4,8.3,18.9,19.8,12.7,13.4,6.5,3.3,2.9
CAM_02,VT,Cool/Wet,control_0,CAM_02_control_0,19.7,16.3,18.6,15.1,10.2,16.1,20.9,14.4,8.5,21.9,20.3,14.6,7.8,7.2,4,46
CAM_02,VT,Cool/Wet,control_5,CAM_02_control_5,8.3,8.8,3.4,1.9,3.7,2.1,2.7,14.6,9.1,2.9,9.1,7.4,3.3,5.2,1.2,16.6
CAM_02,VT,Cool/Wet,control_10,CAM_02_control_10,7.5,5.6,13.4,4.5,9.5,10.2,5,7.5,7.4,2.9,7.7,7.1,0.3,0,0,0
ESC_01,NY,Hot/Dry,control_0,ESC_01_control_0,11,1.1,7.1,8.8,9.5,6.9,3.1,5.9,2.7,4.1,5.1,5.2,2.7,5.6,3.4,0
ESC_01,NY,Hot/Dry,control_5,ESC_01_control_5,4.1,9.8,7.4,9,13,19.3,12.9,8.4,3.3,12.3,17.7,15.4,16.7,5.7,6.3,10.6
ESC_01,NY,Hot/Dry,control_10,ESC_01_control_10,14.4,10.5,18.9,10.3,13.7,17.4,13.4,11.9,4.9,10.7,5.2,8,17.6,5.1,2.8,16.5
JAY_02,VT,Cool/Wet,control_0,JAY_02_control_0,19.6,6.6,9.4,9.7,13.9,17.6,7.5,8.5,17.4,19.3,14.1,11.8,11.5,6.9,10,5.8
JAY_02,VT,Cool/Wet,control_5,JAY_02_control_5,14.3,2.9,5.1,5.6,2,2.5,2.5,2.6,4.2,7.4,11.9,10,12,4.8,5,4.2
