Family,Source,Group,Treatment,Plant_ID,green_wt,live_crown_ht,root_wt,stem_wt,needle_wt,total_dry_wt,root2shoot_ratio
BRU_05,PA,Hot/Dry,control_0,BRU_05_control_0,0.058,18.8,0.0109,0.0049,0.025,0.0408,0.364548495
BRU_05,PA,Hot/Dry,control_5,BRU_05_control_5,0.4854,50.3,0.0659,0.0331,0.118,0.217,0.43613501
BRU_05,PA,Hot/Dry,control_10,BRU_05_control_10,0.2069,41.2,0.028,0.0102,0.0551,0.0933,0.428790199
CAM_02,VT,Cool/Wet,control_0,CAM_02_control_0,0.1332,21.1,0.0163,0.0141,0.0354,0.0658,0.329292929
CAM_02,VT,Cool/Wet,control_5,CAM_02_control_5,0.0593,20.2,0.012,0.009,0.0171,0.0381,0.459770115
CAM_02,VT,Cool/Wet,control_10,CAM_02_control_10,0.0271,14.9,0.0054,0.0038,0.0088,0.018,0.428571429
ESC_01,NY,Hot/Dry,control_0,ESC_01_control_0,0.0464,21.1,0.0054,0.005,0.0153,0.0257,0.266009852
ESC_01,NY,Hot/Dry,control_5,ESC_01_control_5,0.1293,30.8,0.0208,0.0117,0.0311,0.0636,0.485981308
ESC_01,NY,Hot/Dry,control_10,ESC_01_control_10,0.1688,31.1,0.0366,0.0158,0.0342,0.0866,0.732
JAY_02,VT,Cool/Wet,control_0,JAY_02_control_0,0.1412,30.3,0.018,0.0134,0.0326,0.064,0.391304348
JAY_02,VT,Cool/Wet,control_5,JAY_02_control_5,0.0449,21.9,0.0153,0.0084,0.0209,0.0446,0.5221843
JAY_02,VT,Cool/Wet,control_10,JAY_02_control_10,0.1195,36.6,0.0269,0.012,0.0221,0.061,0.788856305
LOL_02,NH,Cool/Wet,control_0,LOL_02_control_0,0.0508,21.8,0.0029,0.0077,0.0163,0.0269,0.120833333
LOL_02,NH,Cool/Wet,control_5,LOL_02_control_5,0.0472,19.8,0.0078,0.0057,0.0127,0.0262,0.423913043
LOL_02,NH,Cool/Wet,control_10,LOL_02_control_10,0.0287,13.4,0.0074,0.0072,0.0106,0.0252,0.415730337
XBM_07,PA,Hot/Dry,control_0,XBM_07_control_0,0.4536,46.2,0.00825,0.0362,0.16325,0.2077,0.04136375
